itemNumber	string	score	depth	hierarchy
75624362	topologie	8	2	wiskunde
07562706x	weekdieren	8	3	dieren
75621169	scheepsbouw	8	1	scheepsbouw
75599880	atomen	8	2	natuurkunde
75613816	levensbeschrijvingen	8	1	levensbeschrijvingen
75601842	bosbouw	8	2	bossen
75665441	wind	8	2	meteorologie
75608219	grammatica	8	2	taalwetenschap
75598566	bestuursrecht	8	2	recht
75663082	privatisering	8	1	privatisering
75666014	verkeerswegen	8	3	logistiek
75671840	bioritmen	8	1	bioritmen
75651572	diergedrag	8	4	sociale wetenschappen
75601052	bewegingstherapie	8	2	therapieën
75656779	algen	8	2	planten
267164610	voedselallergie	8	3	ziekteleer
29233012x	drug targeting	8	4	chemie
75659816	huidkanker	8	3	ziekteleer
07567954x	osteoporose	8	2	ziekteleer
75660164	kaakchirurgie	8	3	geneeskunde
121700313	reukstoffen	8	4	technologie
75617749	orthopedagogiek	8	3	agologie
75625822	verstedelijking	8	2	demografie
07561992x	radar	8	1	radar
75610434	investeringen	8	1	investeringen
75606704	gassen ; mechanica	8	2	gassen@@
75604817	economische groei	8	1	economische groei
75608367	groenteteelt	8	5	economie
182931137	electronic commerce	8	2	handel
75663457	radiodiagnostiek	8	3	geneeskunde
75682109	broeikaseffect	8	3	milieuverontreiniging
75625547	verkeersbeleid	8	2	overheidsbeleid
408069872	nanomaterialen	8	3	technologie
75619695	psychiatrie	8	1	psychiatrie
29887718x	farmacokinetiek	8	4	chemie
75617609	optische instrumenten en technieken	8	1	optische instrumenten en technieken
75632527	mexico (land)	8	1	mexico (land)
07561183x	kinderpsychologie	8	4	sociale wetenschappen
327300647	sensortechnologie	8	2	technologie
75601745	bomenteelt	8	1	bomenteelt
75619954	radioastronomie	8	2	astronomie
07566058x	kristallen	8	1	kristallen
75618796	plantkunde	8	2	biologie
75680114	financieel management	8	2	management
75664321	technologische vernieuwing	8	2	innovatie
75610698	jeugd	8	1	jeugd
175158614	omgevingspsychologie	8	3	sociale wetenschappen
75636786	vervoer	8	1	vervoer
07566013x	jeugdgezondheidszorg	7	2	gezondheidszorg
121730735	hyperthermie	7	1	hyperthermie
